20230914	12:36:57	2db36d05-a275-434c-9660-f1ea993dcad7	/	GET
 20230914	12:36:57	fdf55be3-04e1-445c-a44b-784ef0a5c785	/css/style.css	GET
 20230914	12:36:58	303b6a03-ed61-45da-bf22-861a78b400da	/favicon.ico	GET
 20230914	12:37:05	5d686b47-c684-4aac-b412-6f95e216ff0e	/about	GET
 20230914	12:37:05	2ffdea24-d593-4cc8-98e7-e1e2001d8b8a	/css/style.css	GET
 20230914	12:37:13	ed82d4f2-5164-4fb3-8971-292f428cecbd	/image	GET
 20230914	12:37:13	6133a838-d429-4dcc-ab01-224414133fe0	/css/style.css	GET
 20230914	12:37:59	962abe53-7197-43c3-a28c-97708d422d53	/css	GET
 20230914	12:37:59	45a27ebb-20bd-4c1b-babf-67320b561c53	/css/style.css	GET
 20230914	13:21:33	fe80bd60-3bff-4f3a-ab94-26788555f714	/css	GET
 20230914	13:21:33	46b87d55-72a8-4d36-8b64-2cc677ee84ab	/css/style.css	GET
 20230914	13:21:38	33bcb67f-eb16-4d5a-9f75-b4bf086ffdb2	/	GET
 20230914	13:21:38	72eb8fba-f3f2-4e70-b921-20ec9ac2b6ff	/css/style.css	GET
 20230914	13:21:45	8b92126c-611b-46a7-9d10-57c2d4717596	/js	GET
 20230914	13:21:45	bae8c492-82bb-4d71-91c9-401f83342f74	/css/style.css	GET
 20230914	13:21:51	c3e4befe-52bf-4e1e-ab89-e0e24319b2dd	/	GET
 20230914	13:21:51	14c9947c-c86d-4219-8acc-9f1bb2beb97b	/css/style.css	GET
 20230914	13:22:12	e495efc6-6268-47fe-b0f0-9f9ed8edc816	/Json	GET
 20230914	13:22:12	3f92ffc4-95b3-4c24-bc1d-96bf465e2537	/css/style.css	GET
 20230914	13:22:18	04260668-5288-4ff5-9a9f-fb0d15a7ac6a	/data	GET
 20230914	13:22:18	bb68756e-8f07-4f41-861d-67fc330e85cb	/css/style.css	GET
 20230914	13:22:20	608253df-d206-4ddf-ad05-2a03899bc231	/data	GET
 20230914	13:22:20	965beabd-6e1f-4e19-b06b-c5f6b9cbcb57	/css/style.css	GET
 20230914	13:34:16	3cb87ccf-0567-4a2a-a235-177ba3082b2c	/	GET
 20230914	13:34:16	11fea0ce-699d-49c7-a72a-03eb0efdb124	/css/style.css	GET
 20230915	16:18:43	f1020021-d7fb-4080-87dc-807a8e80c7dd	GET	undefined	/hello
20230915	16:18:43	65e4dd80-3bfd-430f-804c-a3a74453a608	GET	undefined	/favicon.ico
20230915	16:18:50	8e908291-dbc9-4469-9fe2-d41ede0da5a8	GET	undefined	/index
20230915	16:18:50	f40222b6-3af7-4b53-850b-6234a7675bfa	GET	undefined	/css/style.css
20230915	16:22:10	1510bc47-a52d-4bc0-8289-0ff89a43bb32	GET	undefined	/new-page.html
20230915	16:22:11	9605ed33-34d4-457d-9583-991f4f97e216	GET	undefined	/css/style.css
20230915	16:22:11	8080c7eb-9964-4626-961e-f31e3cc21184	GET	undefined	/img/img1.jpg
20230915	16:29:46	1e481709-112e-4314-bb49-4ce92c9bbfb1	GET	undefined	/new-page.html
20230915	16:29:46	416a97d2-6380-4862-a0ed-dbb652db8246	GET	undefined	/css/style.css
20230915	16:29:46	ff11b4bf-8aa4-41a9-a2bc-e4318914f59e	GET	undefined	/img/img1.jpg
20230915	16:29:47	8f3eb224-3201-482a-815c-97a36bc94d3d	GET	undefined	/new-page.html
20230915	16:29:47	b4b91d16-3ab9-4b68-84a3-c6196f418bd0	GET	undefined	/css/style.css
20230915	16:29:47	52bc1101-de84-4f9c-bbaa-be4f5d293614	GET	undefined	/img/img1.jpg
20230915	16:29:47	b6596a5c-e66f-4a37-b470-269a97b01010	GET	undefined	/new-page.html
20230915	16:29:47	258f85e6-7574-4ee5-ac77-ca47fe4efe23	GET	undefined	/css/style.css
20230915	16:29:47	253064c3-5d7f-4ff2-a267-c346760e8ddc	GET	undefined	/img/img1.jpg
20230915	16:29:55	9b17c0f9-d649-4d74-8942-98d7660a110b	GET	undefined	/
20230915	16:29:55	c132fbd7-2106-495d-a082-b0c4e5c4a430	GET	undefined	/css/style.css
20230915	16:30:02	7840506a-8ef4-4ee9-972d-4ed654db478e	GET	undefined	/new-page.html
20230915	16:30:02	b9e88e62-e58e-4702-8310-392df1cfcc00	GET	undefined	/css/style.css
20230915	16:30:02	5b86a228-fd58-40c6-9838-75b532529adc	GET	undefined	/img/img1.jpg
20230915	16:30:53	15e09ac4-015b-402f-9abf-29353bfd8962	GET	undefined	/new-page.html
20230915	16:30:53	d7b80e11-e021-444b-8fe4-4b3183c52d98	GET	undefined	/css/style.css
20230915	16:30:53	6b03c89a-2531-4caf-bda2-29f19de1a8e6	GET	undefined	/img/img1.jpg
20230915	16:30:54	c10e20fa-eec5-45c0-bb0e-388c22ad65b0	GET	undefined	/img/img1.jpg
20230915	16:31:18	360b3ba6-78ee-4e4d-8775-9b896e879b63	GET	undefined	/index
20230915	16:31:18	cb3422f4-9081-49df-bf9f-91cfc8133e8d	GET	undefined	/css/style.css
20230915	16:37:59	140f3a69-0710-4d38-ae12-5346bd30f75c	GET	undefined	/index
20230915	16:37:59	05cca4d1-2caf-4c6c-a419-bd305c243a52	GET	undefined	/css/style.css
20230915	16:38:08	b0844ecb-447d-4050-99f5-adeef4cd7e70	GET	undefined	/new-page.html
20230915	16:38:08	2b4b37d9-d772-4be9-ba51-c9fd49709cc7	GET	undefined	/css/style.css
20230915	16:38:08	04fbb7ae-5b70-4ae6-a673-2356d582e38b	GET	undefined	/img/img1.jpg
20230915	16:40:32	8ba82d2d-e019-45b5-b594-df95d5470413	GET	undefined	/new-page.html
20230915	16:40:32	6414f14c-d03a-4fbf-bbc7-f7bc6accafa2	GET	undefined	/css/style.css
20230915	16:40:32	c1f7fbfc-c9c6-445c-8e60-3c217cf71af9	GET	undefined	/img/img1.jpg
20230915	16:40:39	5e5f6399-4d88-48f0-b391-dd5192128061	GET	undefined	/index
20230915	16:40:39	9c9e43cb-3e4e-4892-8621-d48c5841454b	GET	undefined	/style.css
20230915	16:40:39	ff2c750e-02bb-49ef-bd82-705ca814fd59	GET	undefined	/script.js
20230915	16:40:39	f2723cac-0ad6-4359-9280-a1d283c0a31d	GET	undefined	/img.png
20230915	16:40:39	6b54816c-c1ba-40fb-91ec-a9efb5659209	GET	undefined	/imgfeaturef1.png
20230915	16:40:39	1846f036-4b5b-4311-9a13-1af1eb8fdfaa	GET	undefined	/Online%20Order.png.png
20230915	16:40:39	9adf83aa-2a51-446a-aba1-5dfd083f674b	GET	undefined	/Promotion.png.png
20230915	16:40:39	9bd8adac-9d50-4559-b971-5d31ac79b6bd	GET	undefined	/Save%20Money.png.png
20230915	16:40:39	5c1f8226-388f-4688-8bc9-560fb93a306b	GET	undefined	/Happy%20sell.png
20230915	16:40:39	41745d54-a974-4f4e-9cda-1066fbbbd079	GET	undefined	/Support.png
20230915	16:40:39	4d9cc4ad-4e3a-424a-b9b5-6f52aa8cc931	GET	undefined	/product%20f1.jpg
20230915	16:40:39	e990cbdc-2ac6-49e1-9a74-1bc83b3eb943	GET	undefined	/product%20f2.jpg
20230915	16:40:39	3dc9d0fe-33e8-4f3c-8b6b-5c44629439a6	GET	undefined	/product%20f3.jpg
20230915	16:40:39	1cdff163-48a9-4962-8fe2-0e44fb5335ec	GET	undefined	/product%20f4.jpg
20230915	16:40:39	ee0e2460-d112-44b6-b859-9b4ab8562cef	GET	undefined	/product%20f5.jpg
20230915	16:40:39	9673d624-d23e-45c5-b258-65df09ec5e2f	GET	undefined	/product%20f6.jpg
20230915	16:40:39	8c49b514-decc-4b0b-a95f-9c783111c0c8	GET	undefined	/product%20f7.jpg
20230915	16:40:39	a3435a99-e712-43b5-b95a-9318e91f0060	GET	undefined	/product%20f8.jpg
20230915	16:41:58	c387f212-0e5e-45dc-906b-3b0c6b5e9465	GET	undefined	/index
20230915	16:41:58	02e20104-2e7e-4278-ba91-e03381cb8ad4	GET	undefined	/style.css
20230915	16:41:58	287a43c6-9362-4604-9a95-b5ee2e447c89	GET	undefined	/script.js
20230915	16:41:58	9ccf380d-6452-43ab-84a2-5d278f9a53fe	GET	undefined	/img.png
20230915	16:41:58	895dd767-38d2-46b3-ab0f-f16fdc4eb77b	GET	undefined	/imgfeaturef1.png
20230915	16:41:58	cb54a696-4e52-4f5f-a139-5e0910002309	GET	undefined	/Online%20Order.png.png
20230915	16:41:58	2b6151d1-0215-4c4a-83c6-dfd5c85f5a29	GET	undefined	/Save%20Money.png.png
20230915	16:41:58	9e8608a8-ef19-4f3c-9ab9-c27be018dfa4	GET	undefined	/Promotion.png.png
20230915	16:41:58	76a12611-3534-4e9c-a409-56ca0373e738	GET	undefined	/product%20f1.jpg
20230915	16:41:58	f361451b-f7db-48e4-87e5-b2d99280b11d	GET	undefined	/Happy%20sell.png
20230915	16:41:58	ad1e16c0-b625-4641-ab32-faee56d864e5	GET	undefined	/Support.png
20230915	16:41:58	730618b4-b3db-47a1-827b-ec50c85b0416	GET	undefined	/product%20f2.jpg
20230915	16:41:58	545db0df-f35e-47be-9600-919376feace8	GET	undefined	/product%20f3.jpg
20230915	16:41:58	d496ee23-cc2a-4e2a-b9bc-d43fbdfb1888	GET	undefined	/product%20f4.jpg
20230915	16:41:58	4e935a4a-4174-46d0-a72f-02864fc80c24	GET	undefined	/product%20f5.jpg
20230915	16:41:58	31198463-c94a-4d1d-a1e3-989f5d4dee18	GET	undefined	/product%20f6.jpg
20230915	16:41:58	b27dd313-185f-4a74-a4e5-7de902cfbed9	GET	undefined	/product%20f7.jpg
20230915	16:41:58	acece3be-0c6c-424d-b337-45fa5e2e3a0d	GET	undefined	/product%20f8.jpg
20230915	16:41:59	b50bfd1d-84e7-4ba9-aff8-bdb588b55c7c	GET	undefined	/index
20230915	16:41:59	a9f6841a-1104-45e7-b537-3cb43967c2c6	GET	undefined	/style.css
20230915	16:41:59	8d863cb7-2226-4c94-81b7-9c7aecf69a17	GET	undefined	/script.js
20230915	16:41:59	d0dfabc2-8590-4b0d-967b-db57d80729fa	GET	undefined	/img.png
20230915	16:41:59	eb8a9503-dc03-4dd6-b533-f66627adc58b	GET	undefined	/imgfeaturef1.png
20230915	16:41:59	c2fe715b-6783-4289-8ac6-f32c8c95cb34	GET	undefined	/Online%20Order.png.png
20230915	16:41:59	e005b2cc-185a-49a9-b489-af4bd1ebaecb	GET	undefined	/Save%20Money.png.png
20230915	16:41:59	6b59bdb6-817e-4f78-8c08-793816efecf0	GET	undefined	/Promotion.png.png
20230915	16:41:59	a69aa73d-8611-438b-b556-183914a7ad20	GET	undefined	/Happy%20sell.png
20230915	16:41:59	b74cd73b-10dd-4ea2-8965-6e0cedd7f8f8	GET	undefined	/Support.png
20230915	16:41:59	9ed506be-b2c4-46bc-8bf9-4174414f3f21	GET	undefined	/product%20f1.jpg
20230915	16:41:59	79393ec8-2f67-4db0-90fd-3b2d252e4574	GET	undefined	/product%20f2.jpg
20230915	16:41:59	07c4d4ec-4d03-4064-9fe7-0f57df6f25e2	GET	undefined	/product%20f3.jpg
20230915	16:41:59	6c2ae50b-8528-4e76-9ad3-c81398ff611e	GET	undefined	/product%20f4.jpg
20230915	16:41:59	16bf9176-1d4d-4cba-aaa9-533c18359630	GET	undefined	/product%20f5.jpg
20230915	16:41:59	41d0bc6b-0edf-49e8-ab09-199e46536f5e	GET	undefined	/product%20f6.jpg
20230915	16:41:59	ab9b7c61-4c47-430b-bb34-4e2cc60775ca	GET	undefined	/product%20f7.jpg
20230915	16:41:59	9b9f5d02-b809-45ae-98bd-167724238c03	GET	undefined	/product%20f8.jpg
20230915	16:42:17	b3fe281b-a3fa-45cb-9593-af12be70afe1	GET	undefined	/style.css
20230915	16:42:23	90dd67c6-6a4e-4b10-b1de-e7739dfb8d48	GET	undefined	/index
